% valor	NoC_0	NoC_1	NoC_2	NoC_2zz	NoC_3	NoC_3c1
87	37507	4	14	68	229	7
88	35349	2	9	86	236	9
89	33744	1	6	84	236	5
90	31370	3	5	79	202	6
91	28872	3	4	67	178	6
92	26720	1	4	63	191	4
93	23960	0	2	61	155	2
94	21695	0	0	49	137	3
95	19288	1	0	56	131	0
96	17174	0	3	70	132	1
97	15192	0	0	51	122	3
98	13178	0	1	52	155	3
99	10694	0	0	73	112	1
100	8753	0	0	45	50	1
101	0	0	0	50	0	1
102	0	0	0	50	0	1
103	0	0	0	39	0	1
104	0	0	1	42	0	1
105	0	0	0	40	0	0
106	0	0	1	47	0	0
107	0	0	0	42	0	0
108	0	0	0	35	0	1
109	0	0	0	38	0	0
110	0	0	0	50	0	0
111	0	0	1	34	0	0
112	0	0	0	32	0	0
113	0	0	0	32	0	0
114	0	0	0	30	0	0
115	0	0	0	31	0	0
116	0	0	0	35	0	0
117	0	0	0	31	0	0
118	0	0	0	36	0	0
119	0	0	0	28	0	0
120	0	0	0	33	0	0
121	0	0	0	23	0	0
122	0	0	0	34	0	0
123	0	0	0	26	0	0
124	0	0	0	23	0	0
125	0	0	0	20	0	0
126	0	0	0	37	0	0
127	0	0	0	17	0	0
128	0	0	0	20	0	0
129	0	0	0	22	0	0
130	0	0	0	16	0	0
131	0	0	0	13	0	0
132	0	0	0	31	0	0
133	0	0	0	19	0	0
134	0	0	0	16	0	0
135	0	0	0	13	0	0
136	0	0	0	24	0	0
137	0	0	0	19	0	0
138	0	0	0	19	0	0
139	0	0	0	11	0	0
140	0	0	0	24	0	0
141	0	0	0	13	0	0
142	0	0	0	12	0	0
143	0	0	0	8	0	0
144	0	0	0	12	0	0
145	0	0	0	8	0	0
146	0	0	0	6	0	0
147	0	0	0	7	0	0
148	0	0	0	6	0	0
149	0	0	0	7	0	0
150	0	0	0	10	0	0
151	0	0	0	1	0	0
152	0	0	0	8	0	0
153	0	0	0	5	0	0
154	0	0	0	11	0	0
155	0	0	0	7	0	0
156	0	0	0	8	0	0
157	0	0	0	4	0	0
158	0	0	0	4	0	0
159	0	0	0	2	0	0
160	0	0	0	7	0	0
161	0	0	0	7	0	0
162	0	0	0	4	0	0
163	0	0	0	2	0	0
164	0	0	0	2	0	0
165	0	0	0	3	0	0
166	0	0	0	4	0	0
167	0	0	0	2	0	0
168	0	0	0	4	0	0
169	0	0	0	1	0	0
170	0	0	0	2	0	0
171	0	0	0	2	0	0
172	0	0	0	2	0	0
173	0	0	0	1	0	0
174	0	0	0	1	0	0
175	0	0	0	0	0	0
176	0	0	0	0	0	0
177	0	0	0	2	0	0
178	0	0	0	4	0	0
179	0	0	0	2	0	0
180	0	0	0	2	0	0
181	0	0	0	3	0	0
182	0	0	0	2	0	0
183	0	0	0	3	0	0
184	0	0	0	0	0	0
185	0	0	0	0	0	0
186	0	0	0	0	0	0
187	0	0	0	0	0	0
188	0	0	0	2	0	0
189	0	0	0	0	0	0
190	0	0	0	0	0	0
191	0	0	0	0	0	0
192	0	0	0	0	0	0
